id,group,variables
51,1,"'mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
52,2,"'A_D_1_an_0','A_D_1_an_45','A_D_1_an_90','A_D_1_an_135','A_D_2_an_0','A_D_2_an_45','A_D_2_an_90','A_D_2_an_135','A_D_3_an_0','A_D_3_an_45','A_D_3_an_90','A_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
53,2,"'C_D_1_an_0','C_D_1_an_45','C_D_1_an_90','C_D_1_an_135','C_D_2_an_0','C_D_2_an_45','C_D_2_an_90','C_D_2_an_135','C_D_3_an_0','C_D_3_an_45','C_D_3_an_90','C_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
54,2,"'Cor_D_1_an_0','Cor_D_1_an_45','Cor_D_1_an_90','Cor_D_1_an_135','Cor_D_2_an_0','Cor_D_2_an_45','Cor_D_2_an_90','Cor_D_2_an_135','Cor_D_3_an_0','Cor_D_3_an_45','Cor_D_3_an_90','Cor_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
55,2,"'Di_D_1_an_0','Di_D_1_an_45','Di_D_1_an_90','Di_D_1_an_135','Di_D_2_an_0','Di_D_2_an_45','Di_D_2_an_90','Di_D_2_an_135','Di_D_3_an_0','Di_D_3_an_45','Di_D_3_an_90','Di_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
56,2,"'E_D_1_an_0','E_D_1_an_45','E_D_1_an_90','E_D_1_an_135','E_D_2_an_0','E_D_2_an_45','E_D_2_an_90','E_D_2_an_135','E_D_3_an_0','E_D_3_an_45','E_D_3_an_90','E_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
57,2,"'H_D_1_an_0','H_D_1_an_45','H_D_1_an_90','H_D_1_an_135','H_D_2_an_0','H_D_2_an_45','H_D_2_an_90','H_D_2_an_135','H_D_3_an_0','H_D_3_an_45','H_D_3_an_90','H_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
58,2,"'A_D_1_an_0','A_D_1_an_45','A_D_1_an_90','A_D_1_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
59,2,"'A_D_2_an_0','A_D_2_an_45','A_D_2_an_90','A_D_2_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
60,2,"'A_D_3_an_0','A_D_3_an_45','A_D_3_an_90','A_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
61,2,"'C_D_1_an_0','C_D_1_an_45','C_D_1_an_90','C_D_1_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
62,2,"'C_D_2_an_0','C_D_2_an_45','C_D_2_an_90','C_D_2_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
63,2,"'C_D_3_an_0','C_D_3_an_45','C_D_3_an_90','C_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
64,2,"'Cor_D_1_an_0','Cor_D_1_an_45','Cor_D_1_an_90','Cor_D_1_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
65,2,"'Cor_D_2_an_0','Cor_D_2_an_45','Cor_D_2_an_90','Cor_D_2_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
66,2,"'Cor_D_3_an_0','Cor_D_3_an_45','Cor_D_3_an_90','Cor_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
67,2,"'Di_D_1_an_0','Di_D_1_an_45','Di_D_1_an_90','Di_D_1_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
68,2,"'Di_D_2_an_0','Di_D_2_an_45','Di_D_2_an_90','Di_D_2_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
69,2,"'Di_D_3_an_0','Di_D_3_an_45','Di_D_3_an_90','Di_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
70,2,"'E_D_1_an_0','E_D_1_an_45','E_D_1_an_90','E_D_1_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
71,2,"'E_D_2_an_0','E_D_2_an_45','E_D_2_an_90','E_D_2_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
72,2,"'E_D_3_an_0','E_D_3_an_45','E_D_3_an_90','E_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
73,2,"'H_D_1_an_0','H_D_1_an_45','H_D_1_an_90','H_D_1_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
74,2,"'H_D_2_an_0','H_D_2_an_45','H_D_2_an_90','H_D_2_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
75,2,"'H_D_3_an_0','H_D_3_an_45','H_D_3_an_90','H_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
76,2,"'C_D_1_an_0','C_D_1_an_45','C_D_1_an_90','C_D_1_an_135','C_D_2_an_0','C_D_2_an_45','C_D_2_an_90','C_D_2_an_135','C_D_3_an_0','C_D_3_an_45','C_D_3_an_90','C_D_3_an_135','Di_D_1_an_0','Di_D_1_an_45','Di_D_1_an_90','Di_D_1_an_135','Di_D_2_an_0','Di_D_2_an_45','Di_D_2_an_90','Di_D_2_an_135','Di_D_3_an_0','Di_D_3_an_45','Di_D_3_an_90','Di_D_3_an_135','H_D_1_an_0','H_D_1_an_45','H_D_1_an_90','H_D_1_an_135','H_D_2_an_0','H_D_2_an_45','H_D_2_an_90','H_D_2_an_135','H_D_3_an_0','H_D_3_an_45','H_D_3_an_90','H_D_3_an_135','A_D_1_an_0','A_D_1_an_45','A_D_1_an_90','A_D_1_an_135','A_D_2_an_0','A_D_2_an_45','A_D_2_an_90','A_D_2_an_135','A_D_3_an_0','A_D_3_an_45','A_D_3_an_90','A_D_3_an_135','E_D_1_an_0','E_D_1_an_45','E_D_1_an_90','E_D_1_an_135','E_D_2_an_0','E_D_2_an_45','E_D_2_an_90','E_D_2_an_135','E_D_3_an_0','E_D_3_an_45','E_D_3_an_90','E_D_3_an_135','Cor_D_1_an_0','Cor_D_1_an_45','Cor_D_1_an_90','Cor_D_1_an_135','Cor_D_2_an_0','Cor_D_2_an_45','Cor_D_2_an_90','Cor_D_2_an_135','Cor_D_3_an_0','Cor_D_3_an_45','Cor_D_3_an_90','Cor_D_3_an_135','mean_intensity','mean_offset','value_2_mad','value_3_mad','value_4_mad'"
77,2,"'A_D_1_an_0','A_D_1_an_45','A_D_1_an_90','A_D_1_an_135','A_D_2_an_0','A_D_2_an_45','A_D_2_an_90','A_D_2_an_135','A_D_3_an_0','A_D_3_an_45','A_D_3_an_90','A_D_3_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
78,2,"'C_D_1_an_0','C_D_1_an_45','C_D_1_an_90','C_D_1_an_135','C_D_2_an_0','C_D_2_an_45','C_D_2_an_90','C_D_2_an_135','C_D_3_an_0','C_D_3_an_45','C_D_3_an_90','C_D_3_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
79,2,"'Cor_D_1_an_0','Cor_D_1_an_45','Cor_D_1_an_90','Cor_D_1_an_135','Cor_D_2_an_0','Cor_D_2_an_45','Cor_D_2_an_90','Cor_D_2_an_135','Cor_D_3_an_0','Cor_D_3_an_45','Cor_D_3_an_90','Cor_D_3_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
80,2,"'Di_D_1_an_0','Di_D_1_an_45','Di_D_1_an_90','Di_D_1_an_135','Di_D_2_an_0','Di_D_2_an_45','Di_D_2_an_90','Di_D_2_an_135','Di_D_3_an_0','Di_D_3_an_45','Di_D_3_an_90','Di_D_3_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
81,2,"'E_D_1_an_0','E_D_1_an_45','E_D_1_an_90','E_D_1_an_135','E_D_2_an_0','E_D_2_an_45','E_D_2_an_90','E_D_2_an_135','E_D_3_an_0','E_D_3_an_45','E_D_3_an_90','E_D_3_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
82,2,"'H_D_1_an_0','H_D_1_an_45','H_D_1_an_90','H_D_1_an_135','H_D_2_an_0','H_D_2_an_45','H_D_2_an_90','H_D_2_an_135','H_D_3_an_0','H_D_3_an_45','H_D_3_an_90','H_D_3_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
83,2,"'A_D_1_an_0','A_D_1_an_45','A_D_1_an_90','A_D_1_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
84,2,"'A_D_2_an_0','A_D_2_an_45','A_D_2_an_90','A_D_2_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
85,2,"'A_D_3_an_0','A_D_3_an_45','A_D_3_an_90','A_D_3_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
86,2,"'C_D_1_an_0','C_D_1_an_45','C_D_1_an_90','C_D_1_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
87,2,"'C_D_2_an_0','C_D_2_an_45','C_D_2_an_90','C_D_2_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
88,2,"'C_D_3_an_0','C_D_3_an_45','C_D_3_an_90','C_D_3_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
89,2,"'Cor_D_1_an_0','Cor_D_1_an_45','Cor_D_1_an_90','Cor_D_1_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
90,2,"'Cor_D_2_an_0','Cor_D_2_an_45','Cor_D_2_an_90','Cor_D_2_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
91,2,"'Cor_D_3_an_0','Cor_D_3_an_45','Cor_D_3_an_90','Cor_D_3_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
92,2,"'Di_D_1_an_0','Di_D_1_an_45','Di_D_1_an_90','Di_D_1_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
93,2,"'Di_D_2_an_0','Di_D_2_an_45','Di_D_2_an_90','Di_D_2_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
94,2,"'Di_D_3_an_0','Di_D_3_an_45','Di_D_3_an_90','Di_D_3_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
95,2,"'E_D_1_an_0','E_D_1_an_45','E_D_1_an_90','E_D_1_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
96,2,"'E_D_2_an_0','E_D_2_an_45','E_D_2_an_90','E_D_2_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
97,2,"'E_D_3_an_0','E_D_3_an_45','E_D_3_an_90','E_D_3_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
98,2,"'H_D_1_an_0','H_D_1_an_45','H_D_1_an_90','H_D_1_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
99,2,"'H_D_2_an_0','H_D_2_an_45','H_D_2_an_90','H_D_2_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
100,2,"'H_D_3_an_0','H_D_3_an_45','H_D_3_an_90','H_D_3_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
101,2,"'C_D_1_an_0','C_D_1_an_45','C_D_1_an_90','C_D_1_an_135','C_D_2_an_0','C_D_2_an_45','C_D_2_an_90','C_D_2_an_135','C_D_3_an_0','C_D_3_an_45','C_D_3_an_90','C_D_3_an_135','Di_D_1_an_0','Di_D_1_an_45','Di_D_1_an_90','Di_D_1_an_135','Di_D_2_an_0','Di_D_2_an_45','Di_D_2_an_90','Di_D_2_an_135','Di_D_3_an_0','Di_D_3_an_45','Di_D_3_an_90','Di_D_3_an_135','H_D_1_an_0','H_D_1_an_45','H_D_1_an_90','H_D_1_an_135','H_D_2_an_0','H_D_2_an_45','H_D_2_an_90','H_D_2_an_135','H_D_3_an_0','H_D_3_an_45','H_D_3_an_90','H_D_3_an_135','A_D_1_an_0','A_D_1_an_45','A_D_1_an_90','A_D_1_an_135','A_D_2_an_0','A_D_2_an_45','A_D_2_an_90','A_D_2_an_135','A_D_3_an_0','A_D_3_an_45','A_D_3_an_90','A_D_3_an_135','E_D_1_an_0','E_D_1_an_45','E_D_1_an_90','E_D_1_an_135','E_D_2_an_0','E_D_2_an_45','E_D_2_an_90','E_D_2_an_135','E_D_3_an_0','E_D_3_an_45','E_D_3_an_90','E_D_3_an_135','Cor_D_1_an_0','Cor_D_1_an_45','Cor_D_1_an_90','Cor_D_1_an_135','Cor_D_2_an_0','Cor_D_2_an_45','Cor_D_2_an_90','Cor_D_2_an_135','Cor_D_3_an_0','Cor_D_3_an_45','Cor_D_3_an_90','Cor_D_3_an_135','mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
102,2,"'mean_intensity','mean_offset','value_1_gra','value_1_mad','value_1_ms','value_1_ngr','value_1_pwl','value_1_rgb','value_1_rsc','value_2_mad','value_2_rgb','value_2_rsc','value_3_mad','value_3_rgb','value_3_rsc','value_4_mad','value_5_mad','value_6_mad'"
